latitude;longitude
-8,060122849;-34,91097706
-8,058168864;-34,93113826
-8,039175628;-34,93616632
-8,11543923;-34,90041997
-8,067180043;-34,88694804
-7,994720831;-34,91068544
-7,999341127;-34,90605225
-7,99096498;-34,93071846
-8,129175971;-34,91056504
-8,038292892;-34,8942772
-7,988740465;-34,91701234
-7,99500464;-34,91055343
-8,120872747;-34,90720843
-8,034136364;-34,9348684
-8,13210164;-34,91072916
-8,134246191;-34,91343435
-8,082028273;-34,94584196
-8,025429834;-34,88801981
-8,061979488;-34,93554136
-8,12298942;-34,90454884
-8,030237837;-34,93422664
-8,040665227;-34,9367006
-8,035531804;-34,93505928
-8,124240951;-34,90282726
-8,062699484;-34,90031767
-8,068723916;-34,88758487
-8,068515672;-34,88749544
-8,066932383;-34,88687921
-8,029540496;-34,92154447
-8,042981767;-34,94364613
-8,040177471;-34,94215099
-8,040016035;-34,94246963
-8,029121318;-34,9329087
-8,062231515;-34,93560467
-8,061595678;-34,93544909
-8,06171586;-34,93549538
-8,006592863;-34,90879694
-8,030274798;-34,93423173
-8,034551714;-34,93493087
-8,029963597;-34,93417986
-8,07141133;-34,90944731
-8,052824242;-34,94596692
-8,04032268;-34,89475565
-8,044298954;-34,89048591
-8,032429878;-34,91248419
-8,077529324;-34,97179126
-8,114817734;-34,95136286
-8,084799814;-34,95417142
-8,065958743;-34,88424422
-8,090268158;-34,90954554
-8,085492871;-34,93084057
-7,983870287;-34,92499792
-8,111700509;-34,94915465
-8,111580636;-34,94858746
-8,038707855;-34,93600179
-8,039791373;-34,93638478
-8,110231395;-34,95249954
-8,034728799;-34,9349574
-8,029612443;-34,93413563
-8,033127014;-34,9346973
-8,018863803;-34,91095147
-8,064267858;-34,87357389
-8,052443682;-34,94667521
-8,062859593;-34,87700267
-8,033895236;-34,90561063
-8,065419496;-34,87341392
-8,030510432;-34,91851151
-8,032839658;-34,91121969
-8,133727487;-34,91332011
-8,143226134;-34,91545072
-8,061337038;-34,88706272
-8,062242313;-34,87222418
-8,080715822;-34,95241925
-8,080825959;-34,95247678
-8,06330301;-34,88672711
-8,124496836;-34,90140989
-8,056220219;-34,94347798
-8,0404625;-34,94165087
-8,063848372;-34,91202544
-8,118218528;-34,91759329
-8,063652209;-34,88702698
-8,096775153;-34,91474151
-8,104280118;-34,92571629
-8,080534084;-34,93097383
-8,082961857;-34,93025772
-8,132216086;-34,94936389
-8,135830907;-34,93390615
-8,132269568;-34,9493097
-8,034424631;-34,9415327
-7,980379637;-34,91682464
-8,119182244;-34,94483811
-8,106132775;-34,95047194
-8,044917421;-34,91764571
-8,043022404;-34,91994849
-8,044960628;-34,91721235
-8,056789743;-34,95878327
-8,084401446;-34,88326372
-8,120223219;-34,9351589
-8,050974714;-34,90051496
-8,041493626;-34,93040529
-8,114407998;-34,90926058
-8,064366365;-34,87794807
-8,06763577;-34,87703377
-8,097872443;-34,93821763
-8,152790364;-34,91182989
-8,071153904;-34,89789368
-8,070809012;-34,89775839
-8,079215836;-34,94675209
-7,999972212;-34,91192807
-8,035285983;-34,89000047
-8,037802618;-34,89606498
-8,13906187;-34,90541377
-8,026932453;-34,95627631
-8,005288281;-34,93727244
-8,009305904;-34,93582226
-8,125027308;-34,9046307
-8,007789434;-34,93624341
-8,010861307;-34,93487153
-8,003373974;-34,93785045
-8,003126979;-34,93790946
-8,006464824;-34,93649837
-8,007169259;-34,93632878
-8,008666614;-34,93612247
-8,12532226;-34,90147345
-8,0058017;-34,93698237
-8,010724392;-34,93499667
-8,007271306;-34,93630717
-8,004111517;-34,9377407
-8,138985126;-34,91362956
-8,107710966;-34,91749964
-8,10865914;-34,91271817
-8,107264686;-34,91788844
-8,028832008;-34,88458215
-8,076842492;-34,94586682
-8,026395707;-34,89446904
-8,029229818;-34,88708907
-8,02454909;-34,89028949
-8,140892205;-34,91404795
-8,065989351;-34,89342815
-8,06597088;-34,89351487
-8,060758052;-34,89504457
-8,031941289;-34,88523635
-8,133470071;-34,95074194
-8,003210352;-34,92834827
-8,027479373;-34,90630293
-8,026706132;-34,90619495
-8,027818276;-34,90634875
-8,022707316;-34,91489007
-8,012550613;-34,90918563
-8,012685485;-34,9090952
-8,012535215;-34,909169
-8,056063565;-34,91230872
-8,118463363;-34,91788471
-7,999216577;-34,92118533
-7,999514115;-34,92156926
-8,008771098;-34,88650359
-8,008858069;-34,88662301
-8,09375123;-34,93190348
-8,023517965;-34,91352185
-8,049933704;-34,90508641
-8,088989732;-34,90541956
-8,047074193;-34,93478891
-8,108537469;-34,90490028
-8,115370935;-34,91971752
-8,08873669;-34,96730984
-8,11428234;-34,91846458
-8,118572168;-34,95354625
-8,133699075;-34,95054603
-8,09973415;-34,88933597
-8,049505729;-34,93998064
-8,10138936;-34,93120945
-8,117088188;-34,94605884
-8,100943794;-34,93029894
-7,966017674;-34,92562378
-8,089057692;-34,96802926
-8,084674136;-34,92351295
