latitude;longitude;endereco_completo;rua;numero;bairro;cidade;estado;cep;pais;place_id;geocoder_usado
-8,060122849;-34,91097706;R. Manoel de Arruda Câmara, 1 - Prado, Recife - PE, 50720-140, Brasil;Rua Manoel de Arruda Câmara;1;Prado;Recife;PE;50720-140;Brasil;ChIJFz0lmCYZqwcRjG2o9qeCfrs;google
-8,058168864;-34,93113826;R. Tamboril, 240 - Cordeiro, Recife - PE, 50640-200, Brasil;Rua Tamboril;240;Cordeiro;Recife;PE;50640-200;Brasil;ChIJlYeHHEcZqwcRKdqCC79Uedg;google
-8,039175628;-34,93616632;R. São Mateus, 276 - Iputinga, Recife - PE, 50731-490, Brasil;Rua São Mateus;276;Iputinga;Recife;PE;50731-490;Brasil;ChIJSx72EHEZqwcRjCUG29xEBf0;google
-8,11543923;-34,90041997;R. Félix de Brito e Melo, 1 - Boa Viagem, Recife - PE, 51020-260, Brasil;Rua Félix de Brito e Melo;1;Boa Viagem;Recife;PE;51020-260;Brasil;ChIJyeobrK4fqwcRHplvoPnRka8;google
-8,067180043;-34,88694804;R. Rianápolis, 52 - Coelhos, Recife - PE, 50060-420, Brasil;Rua Rianápolis;52;Coelhos;Recife;PE;50060-420;Brasil;ChIJU5jGWcgYqwcROv-cmILDTRw;google
-7,994720831;-34,91068544;Rua Jose Luiz Vieira, 31 - Dois Unidos, Recife - PE, 52160-830, Brasil;Rua Jose Luiz Vieira;31;Dois Unidos;Recife;PE;52160-830;Brasil;ChIJXbzqx34XqwcRle1gIE66o6A;google
-7,999341127;-34,90605225;Av. Hildebrando de Vasconcelos, 1000 - Dois Unidos, Recife - PE, 52140-005, Brasil;Avenida Hildebrando de Vasconcelos;1000;Dois Unidos;Recife;PE;52140-005;Brasil;ChIJs6q1qCoYqwcR9i_pL3XIEzo;google
-7,99096498;-34,93071846;R. Serra Verde, 200 - Brejo da Guabiraba, Recife - PE, 52291-652, Brasil;Rua Serra Verde;200;Brejo da Guabiraba;Recife;PE;52291-652;Brasil;ChIJofp6yF0XqwcRB7fWhXkVkWY;google
-8,129175971;-34,91056504;R. Manoel de Morais, 10 - Imbiribeira, Recife - PE, 51030-740, Brasil;Rua Manoel de Morais;10;Imbiribeira;Recife;PE;51030-740;Brasil;ChIJ47mRvzUeqwcRKwssKvep284;google
-8,038292892;-34,8942772;Condomínio da Galeria 48 Center - R. Samuel Campêlo, 48 - Aflitos, Recife - PE, 52050-385, Brasil;Rua Samuel Campêlo;48;Aflitos;Recife;PE;52050-385;Brasil;ChIJd28LlfcYqwcRRfeRQhCTmWY;google
-7,988740465;-34,91701234;Av. Hildebrando de Vasconcelos, 2806 - Dois Unidos, Recife - PE, 52160-000, Brasil;Avenida Hildebrando de Vasconcelos;2806;Dois Unidos;Recife;PE;52160-000;Brasil;ChIJMTTCB3AXqwcRrlgltJ_cQ48;google
