latitude;longitude;endereco_completo;rua;numero;bairro;cidade;estado;cep;pais;place_id;geocoder_usado
-8,050526574;-34,92107917;Av. Caxangá, 1436 - Cordeiro, Recife - PE, 50630-000, Brasil;Avenida Caxangá;1436;Cordeiro;Recife;PE;50630-000;Brasil;ChIJ7ZvK-RYZqwcRNWauDs6WItU;google
-8,056778803;-34,90937597;Av. Caxangá, 1622 - Madalena, Recife - PE, 50711-000, Brasil;Avenida Caxangá;1622;Madalena;Recife;PE;50711-000;Brasil;ChIJ4XCRASEZqwcRnVvd14j46Fc;google
-8,057117582;-34,90926527;R. João Ivo da Silva, 13 - Madalena, Recife - PE, 50720-100, Brasil;Rua João Ivo da Silva;13;Madalena;Recife;PE;50720-100;Brasil;ChIJ47Qw4iAZqwcRNIjnegLd81I;google
-8,042147976;-34,88526641;Av. Norte Miguel Arraes de Alencar, 1465 - Espinheiro, Recife - PE, 52021-000, Brasil;Avenida Norte Miguel Arraes de Alencar;1465;Espinheiro;Recife;PE;52021-000;Brasil;ChIJoRBppfQYqwcRBHRrNj2xPqc;google
-8,042839557;-34,88506663;Av. Gov. Agamenon Magalhães, 2769 - Santo Amaro, Recife - PE, 50050-290, Brasil;Avenida Governador Agamenon Magalhães;2769;Santo Amaro;Recife;PE;50050-290;Brasil;ChIJD3WXVvMYqwcRn1e70RUYQjA;google
-8,042359583;-34,88400675;R. Engenho Taquara, 191 - Santo Amaro, Recife - PE, 50110-030, Brasil;Rua Engenho Taquara;191;Santo Amaro;Recife;PE;50110-030;Brasil;ChIJT7wgqIwYqwcRkjROMBVNw-o;google
-8,042955769;-34,8844187;Av. Gov. Agamenon Magalhães, 1287 - Santo Amaro, Recife - PE, 50110-000, Brasil;Avenida Governador Agamenon Magalhães;1287;Santo Amaro;Recife;PE;50110-000;Brasil;ChIJQWHcUvMYqwcRmHYQWuLKKoM;google
-8,042837141;-34,88415788;R. Engenho Megaípe, 25 - Santo Amaro, Recife - PE, 50110-020, Brasil;Rua Engenho Megaípe;25;Santo Amaro;Recife;PE;50110-020;Brasil;ChIJ-SXAqIwYqwcR8W9F4d2HqYU;google
-8,04256547;-34,88418519;R. Engenho Taquara, 191 - Santo Amaro, Recife - PE, 50110-030, Brasil;Rua Engenho Taquara;191;Santo Amaro;Recife;PE;50110-030;Brasil;ChIJT7wgqIwYqwcRkjROMBVNw-o;google
-8,042026908;-34,88499859;Av. Norte Miguel Arraes de Alencar, 1465 - Espinheiro, Recife - PE, 52021-000, Brasil;Avenida Norte Miguel Arraes de Alencar;1465;Espinheiro;Recife;PE;52021-000;Brasil;ChIJoRBppfQYqwcRBHRrNj2xPqc;google
-8,038055542;-34,8702665;Av. Cruz Cabugá, 280 - Santo Amaro, Recife - PE, 50040-000, Brasil;Avenida Cruz Cabugá;280;Santo Amaro;Recife;PE;50040-000;Brasil;ChIJ1fjLo30YqwcRDxIpiiQK8Qs;google
-8,036878384;-34,86936516;PE-001, 2178 - Santo Amaro, Recife - PE, 50040-000, Brasil;PE-001;2178;Santo Amaro;Recife;PE;50040-000;Brasil;Ei9QRS0wMDEsIDIxNzggLSBTYW50byBBbWFybywgUmVjaWZlIC0gUEUsIEJyYXppbCIbEhkKFAoSCeuxAzZ8GKsHEVl7MM-AqmO5EIIR;google
-8,061752118;-34,90760291;Estr. dos Remédios, 2023 - Ilha do Retiro, Recife - PE, 50720-715, Brasil;Estrada dos Remédios;2023;Ilha do Retiro;Recife;PE;50720-715;Brasil;ChIJza9slycZqwcRAfonbyjSLtw;google
-8,061657535;-34,90759057;Av. Sport Clube do Recife, 30 - Madalena, Recife - PE, 50750-500, Brasil;Avenida Sport Clube do Recife;30;Madalena;Recife;PE;50750-500;Brasil;ChIJQWY9mScZqwcRcR4xyQcgbpI;google
-8,090529025;-34,88191299;PE-009, 516 - Boa Viagem, Recife - PE, 51110-020, Brasil;PE-009;516;Boa Viagem;Recife;PE;51110-020;Brasil;ChIJ33jP4UAfqwcRZYDe7Mw9Hkg;google
-8,090483437;-34,88178479;PE-009, 516 - Boa Viagem, Recife - PE, 51110-020, Brasil;PE-009;516;Boa Viagem;Recife;PE;51110-020;Brasil;ChIJ33jP4UAfqwcRZYDe7Mw9Hkg;google
-8,13252661;-34,90012901;R. Barão de Souza Leão, 16 - Boa Viagem, Recife - PE, 51030-300, Brasil;Rua Barão de Souza Leão;16;Boa Viagem;Recife;PE;51030-300;Brasil;ChIJw2_rQskfqwcRNgCQSKnr1jQ;google
-8,120238527;-34,89509666;Condomínio Edifício Atlântico - Av. Boa Viagem, 3472 - Boa Viagem, Recife - PE, 51020-001, Brasil;Avenida Boa Viagem;3472;Boa Viagem;Recife;PE;51020-001;Brasil;ChIJgX5btQsfqwcRxYOS1zSe2Hw;google
-8,11698225;-34,89315713;R. Antônio Falcão, 5 - Boa Viagem, Recife - PE, 51020-240, Brasil;Rua Antônio Falcão;5;Boa Viagem;Recife;PE;51020-240;Brasil;ChIJW149tqUfqwcRyEwzhhxvPYU;google
-8,124045765;-34,89677247;R. Ribeiro de Brito, 1 - Boa Viagem, Recife - PE, 51021-310, Brasil;Rua Ribeiro de Brito;1;Boa Viagem;Recife;PE;51021-310;Brasil;ChIJ-zRkt7AfqwcR-v0xQGQueXk;google
-8,125290327;-34,89715555;R. Ernesto de Paula Santos, 1 - Boa Viagem, Recife - PE, 51021-330, Brasil;Rua Ernesto de Paula Santos;1;Boa Viagem;Recife;PE;51021-330;Brasil;ChIJVVyYObcfqwcRF0RMklsQfT8;google
-8,091737998;-34,88236285;Av. Boa Viagem, 36 - Pina, Recife - PE, 51011-000, Brasil;Avenida Boa Viagem;36;Pina;Recife;PE;51011-000;Brasil;ChIJgb1iWkAfqwcRjrng-is_pYI;google
-8,091734192;-34,8822208;Condomínio do Edifício Maria Vitória - Av. Boa Viagem, 291 - Boa Viagem, Recife - PE, 51011-000, Brasil;Avenida Boa Viagem;291;Boa Viagem;Recife;PE;51011-000;Brasil;ChIJUZ1lVUAfqwcR_DJxm9yiJyU;google
-8,091645753;-34,88213075;Av. Herculano Bandeira, 10 - Pina, Recife - PE, 51110-130, Brasil;Avenida Herculano Bandeira;10;Pina;Recife;PE;51110-130;Brasil;ChIJWV_mVkAfqwcR8JinoKaAXqU;google
-8,121968742;-34,89600535;PE-009, 3672 - Boa Viagem, Recife - PE, 51021-280, Brasil;PE-009;3672;Boa Viagem;Recife;PE;51021-280;Brasil;ChIJn7OHerAfqwcRcVLW3eRvj1o;google
-8,132005204;-34,89989034;Av. Boa Viagem, 4860 - Boa Viagem, Recife - PE, 51021-000, Brasil;Avenida Boa Viagem;4860;Boa Viagem;Recife;PE;51021-000;Brasil;ChIJBcPwbckfqwcRpZdZftPl2gQ;google
-8,151111614;-34,90779298;Av. Boa Viagem, 10021 - Boa Viagem, Recife - PE, 51130-000, Brasil;Avenida Boa Viagem;10021;Boa Viagem;Recife;PE;51130-000;Brasil;ChIJ-WBhodThqgcR64_eqYINafg;google
-8,062084614;-34,8816624;Av. Conde da Boa Vista, 9 - Boa Vista, Recife - PE, 50060-001, Brasil;Avenida Conde da Boa Vista;9;Boa Vista;Recife;PE;50060-001;Brasil;ChIJh-Zx2LgYqwcR2ds9-48P4U8;google
-8,062000046;-34,88159942;Av. Conde da Boa Vista, 12 - Boa Vista, Recife - PE, 50060-004, Brasil;Avenida Conde da Boa Vista;12;Boa Vista;Recife;PE;50060-004;Brasil;ChIJB7pHKLkYqwcRP7kYPHVfOqw;google
-8,113897263;-34,89117948;PE-009, 2682 - Boa Viagem, Recife - PE, 51020-000, Brasil;PE-009;2682;Boa Viagem;Recife;PE;51020-000;Brasil;ChIJjWHj3aYfqwcR-xWdb7hyW30;google
-8,099736589;-34,88442027;R. Tomé Gibson, 914 - Pina, Recife - PE, 51011-555, Brasil;Rua Tomé Gibson;914;Pina;Recife;PE;51011-555;Brasil;ChIJsb1KMxMfqwcRDWZ2SBPtVVk;google
-8,118611611;-34,89412921;PE-009, 3278 - Boa Viagem, Recife - PE, 51020-000, Brasil;PE-009;3278;Boa Viagem;Recife;PE;51020-000;Brasil;ChIJj-wsDaUfqwcRZHgPnyJRUp8;google
-8,144060719;-34,90463736;Av. Boa Viagem, 6306 - Boa Viagem, Recife - PE, 51130-000, Brasil;Avenida Boa Viagem;6306;Boa Viagem;Recife;PE;51130-000;Brasil;ChIJuwdw7tQfqwcROmV0XKMgvO8;google
-8,126555341;-34,89766459;Av. Boa Viagem, 4268 - Boa Viagem, Recife - PE, 51021-000, Brasil;Avenida Boa Viagem;4268;Boa Viagem;Recife;PE;51021-000;Brasil;ChIJZcMeB7cfqwcRW1f0kd-kboI;google
-8,115308402;-34,8921461;PE-009, 2846 - Boa Viagem, Recife - PE, 51020-000, Brasil;PE-009;2846;Boa Viagem;Recife;PE;51020-000;Brasil;ChIJp86Yj6YfqwcRV-UKQ-LhGEw;google
-8,145061175;-34,90514344;PE-009, 6464 - Boa Viagem, Recife - PE, 51030-020, Brasil;PE-009;6464;Boa Viagem;Recife;PE;51030-020;Brasil;ChIJJeboItUfqwcRB7A5jaJ0AmQ;google
-8,11184224;-34,88997925;Condomínio Edifício Acapulco - Av. Boa Viagem, 2412 - Boa Viagem, Recife - PE, 51020-000, Brasil;Avenida Boa Viagem;2412;Boa Viagem;Recife;PE;51020-000;Brasil;ChIJ-Z1Tag0fqwcRoAazYxFMfto;google
-8,104806417;-34,88729167;Condomínio Edifício California - Boa Viagem, Recife - PE, 51111-190, Brasil;;;Boa Viagem;Recife;PE;51111-190;Brasil;ChIJ80W5qw0fqwcRGS0lgUZ_dxQ;google
-8,095900449;-34,88310091;PE-009, 462 - Boa Viagem, Recife - PE, 51110-020, Brasil;PE-009;462;Boa Viagem;Recife;PE;51110-020;Brasil;ChIJIZNK3mofqwcRS_2nOLFpbeo;google
-8,133309887;-34,90048836;Av. Boa Viagem, 5010 - Boa Viagem, Recife - PE, 51030-000, Brasil;Avenida Boa Viagem;5010;Boa Viagem;Recife;PE;51030-000;Brasil;ChIJg-wMUckfqwcR_HO7k2F47E4;google
